"",".tail",".head"
"1","text1","service orientation"
"2","text104","service orientation"
"3","text107","service orientation"
"4","text125","service orientation"
"5","text126","service orientation"
"6","text140","service orientation"
"7","text157","service orientation"
"8","text171","service orientation"
"9","text181","service orientation"
"10","text185","service orientation"
"11","text186","service orientation"
"12","text187","service orientation"
"13","text188","service orientation"
"14","text189","service orientation"
"15","text190","service orientation"
"16","text191","service orientation"
"17","text192","service orientation"
"18","text199","service orientation"
"19","text213","service orientation"
"20","text214","service orientation"
"21","text227","service orientation"
"22","text235","service orientation"
"23","text242","service orientation"
"24","text248","service orientation"
"25","text25","service orientation"
"26","text251","service orientation"
"27","text256","service orientation"
"28","text30","service orientation"
"29","text36","service orientation"
"30","text37","service orientation"
"31","text44","service orientation"
"32","text63","service orientation"
"33","text65","service orientation"
"34","text71","service orientation"
"35","text78","service orientation"
"36","text8","service orientation"
"37","text80","service orientation"
"38","text1","active listening"
"39","text100","active listening"
"40","text102","active listening"
"41","text106","active listening"
"42","text107","active listening"
"43","text108","active listening"
"44","text109","active listening"
"45","text110","active listening"
"46","text111","active listening"
"47","text112","active listening"
"48","text113","active listening"
"49","text114","active listening"
"50","text115","active listening"
"51","text116","active listening"
"52","text117","active listening"
"53","text118","active listening"
"54","text119","active listening"
"55","text12","active listening"
"56","text120","active listening"
"57","text121","active listening"
"58","text122","active listening"
"59","text123","active listening"
"60","text124","active listening"
"61","text125","active listening"
"62","text127","active listening"
"63","text129","active listening"
"64","text131","active listening"
"65","text134","active listening"
"66","text135","active listening"
"67","text140","active listening"
"68","text141","active listening"
"69","text143","active listening"
"70","text144","active listening"
"71","text148","active listening"
"72","text149","active listening"
"73","text15","active listening"
"74","text151","active listening"
"75","text152","active listening"
"76","text153","active listening"
"77","text157","active listening"
"78","text158","active listening"
"79","text159","active listening"
"80","text16","active listening"
"81","text162","active listening"
"82","text163","active listening"
"83","text165","active listening"
"84","text17","active listening"
"85","text170","active listening"
"86","text171","active listening"
"87","text18","active listening"
"88","text180","active listening"
"89","text187","active listening"
"90","text188","active listening"
"91","text196","active listening"
"92","text197","active listening"
"93","text199","active listening"
"94","text200","active listening"
"95","text202","active listening"
"96","text205","active listening"
"97","text206","active listening"
"98","text208","active listening"
"99","text212","active listening"
"100","text214","active listening"
"101","text217","active listening"
"102","text22","active listening"
"103","text220","active listening"
"104","text221","active listening"
"105","text222","active listening"
"106","text223","active listening"
"107","text224","active listening"
"108","text228","active listening"
"109","text229","active listening"
"110","text230","active listening"
"111","text231","active listening"
"112","text232","active listening"
"113","text233","active listening"
"114","text235","active listening"
"115","text239","active listening"
"116","text24","active listening"
"117","text242","active listening"
"118","text244","active listening"
"119","text248","active listening"
"120","text25","active listening"
"121","text250","active listening"
"122","text253","active listening"
"123","text255","active listening"
"124","text256","active listening"
"125","text259","active listening"
"126","text26","active listening"
"127","text261","active listening"
"128","text28","active listening"
"129","text32","active listening"
"130","text34","active listening"
"131","text36","active listening"
"132","text37","active listening"
"133","text38","active listening"
"134","text4","active listening"
"135","text40","active listening"
"136","text41","active listening"
"137","text43","active listening"
"138","text45","active listening"
"139","text46","active listening"
"140","text48","active listening"
"141","text5","active listening"
"142","text51","active listening"
"143","text54","active listening"
"144","text55","active listening"
"145","text56","active listening"
"146","text57","active listening"
"147","text58","active listening"
"148","text6","active listening"
"149","text60","active listening"
"150","text61","active listening"
"151","text62","active listening"
"152","text63","active listening"
"153","text64","active listening"
"154","text65","active listening"
"155","text66","active listening"
"156","text67","active listening"
"157","text68","active listening"
"158","text69","active listening"
"159","text70","active listening"
"160","text80","active listening"
"161","text86","active listening"
"162","text87","active listening"
"163","text89","active listening"
"164","text9","active listening"
"165","text90","active listening"
"166","text91","active listening"
"167","text92","active listening"
"168","text94","active listening"
"169","text95","active listening"
"170","text97","active listening"
"171","text1","innovation"
"172","text10","innovation"
"173","text100","innovation"
"174","text103","innovation"
"175","text105","innovation"
"176","text106","innovation"
"177","text107","innovation"
"178","text108","innovation"
"179","text11","innovation"
"180","text110","innovation"
"181","text111","innovation"
"182","text112","innovation"
"183","text113","innovation"
"184","text114","innovation"
"185","text118","innovation"
"186","text119","innovation"
"187","text120","innovation"
"188","text126","innovation"
"189","text127","innovation"
"190","text129","innovation"
"191","text130","innovation"
"192","text131","innovation"
"193","text133","innovation"
"194","text135","innovation"
"195","text137","innovation"
"196","text140","innovation"
"197","text15","innovation"
"198","text151","innovation"
"199","text152","innovation"
"200","text153","innovation"
"201","text154","innovation"
"202","text157","innovation"
"203","text158","innovation"
"204","text16","innovation"
"205","text161","innovation"
"206","text167","innovation"
"207","text168","innovation"
"208","text169","innovation"
"209","text171","innovation"
"210","text172","innovation"
"211","text173","innovation"
"212","text179","innovation"
"213","text180","innovation"
"214","text181","innovation"
"215","text185","innovation"
"216","text187","innovation"
"217","text188","innovation"
"218","text189","innovation"
"219","text190","innovation"
"220","text191","innovation"
"221","text192","innovation"
"222","text193","innovation"
"223","text196","innovation"
"224","text197","innovation"
"225","text198","innovation"
"226","text201","innovation"
"227","text205","innovation"
"228","text206","innovation"
"229","text207","innovation"
"230","text21","innovation"
"231","text212","innovation"
"232","text214","innovation"
"233","text215","innovation"
"234","text221","innovation"
"235","text222","innovation"
"236","text224","innovation"
"237","text228","innovation"
"238","text230","innovation"
"239","text232","innovation"
"240","text233","innovation"
"241","text235","innovation"
"242","text236","innovation"
"243","text237","innovation"
"244","text239","innovation"
"245","text24","innovation"
"246","text240","innovation"
"247","text242","innovation"
"248","text244","innovation"
"249","text248","innovation"
"250","text249","innovation"
"251","text25","innovation"
"252","text254","innovation"
"253","text255","innovation"
"254","text256","innovation"
"255","text258","innovation"
"256","text260","innovation"
"257","text29","innovation"
"258","text3","innovation"
"259","text30","innovation"
"260","text31","innovation"
"261","text32","innovation"
"262","text33","innovation"
"263","text35","innovation"
"264","text36","innovation"
"265","text37","innovation"
"266","text38","innovation"
"267","text39","innovation"
"268","text43","innovation"
"269","text45","innovation"
"270","text46","innovation"
"271","text5","innovation"
"272","text50","innovation"
